DATE,Station_ID,Predicted_TMIN,Actual_TMIN
2025-02-10,USW00014755,-19.112907,-18.9
2025-02-11,USW00014755,-21.791168,-23.3
2025-02-12,USW00014755,-19.91121,-20.6
2025-02-13,USW00014755,-17.9768,-17.8
2025-02-14,USW00014755,-22.12294,-22.8
2025-02-15,USW00014755,-21.897602,-22.5
2025-02-16,USW00014755,-21.747913,-22.2
2025-02-17,USW00014755,-23.633377,-25.0
2025-02-18,USW00014755,-23.35293,-27.8
2025-02-19,USW00014755,-23.968267,-27.8
2025-02-20,USW00014755,-14.038981,-13.3
2025-02-21,USW00014755,-18.312387,-18.9
2025-02-22,USW00014755,-17.238436,-16.67
2025-02-23,USW00014755,-15.404365,-14.45
2025-02-24,USW00014755,-13.324188,-12.22
2025-02-25,USW00014755,-10.856844,-10.0
2025-02-26,USW00014755,-8.405176,-8.3
2025-02-27,USW00014755,-12.3729105,-12.8
2025-02-28,USW00014755,-10.087808,-10.6
