DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-02-04,USC00434120,-8.708325,-8.3,-9.088325000000001,-8.328325,0.0
2025-02-05,USC00434120,-19.238373,-18.9,-19.618373,-18.858373,0.0
2025-02-06,USC00434120,-27.75552,-27.2,-28.13552,-27.37552,44.33412200000003
2025-02-07,USC00434120,-22.406504,-21.7,-22.786504,-22.026504000000003,0.0
2025-02-08,USC00434120,-16.276909,-15.6,-16.656909,-15.896908999999999,0.0
2025-02-09,USC00434120,-14.712807,-13.9,-15.092807,-14.332806999999999,0.0
2025-02-10,USC00434120,-14.930386,-13.9,-15.310386000000001,-14.550386,0.0
2025-02-11,USC00434120,-19.224,-18.9,-19.604,-18.844,0.0
2025-02-12,USC00434120,-19.618633,-19.4,-19.998632999999998,-19.238633,0.0
2025-02-13,USC00434120,-17.380472,-16.7,-17.760472,-17.000472000000002,0.0
2025-02-14,USC00434120,-14.295029,-13.9,-14.675029,-13.915028999999999,0.0
2025-02-15,USC00434120,-25.987396,-25.6,-26.367396,-25.607396,26.652882000000027
2025-02-16,USC00434120,-25.659618,-25.6,-26.039617999999997,-25.279618,23.375102000000005
2025-02-17,USC00434120,-16.276115,-15.6,-16.656115,-15.896115,0.0
2025-02-18,USC00434120,-18.276121,-17.8,-18.656121,-17.896121,0.0
2025-02-19,USC00434120,-21.233747,-20.0,-21.613747,-20.853747000000002,0.0
2025-02-20,USC00434120,-29.401121,-28.9,-29.781121,-29.021121,60.79013200000002
2025-02-21,USC00434120,-18.799395,-17.2,-19.179395,-18.419395,0.0
2025-02-22,USC00434120,-13.640159,-12.8,-14.020159000000001,-13.260159,0.0
2025-02-23,USC00434120,-12.161843,-11.1,-12.541843,-11.781842999999999,0.0
2025-02-24,USC00434120,-9.111418,-8.3,-9.491418000000001,-8.731418,0.0
2025-02-25,USC00434120,-5.8815827,-6.1,-6.2615827,-5.5015827,0.0
2025-02-26,USC00434120,-2.5394716,-2.2,-2.9194716,-2.1594716000000003,0.0
2025-02-27,USC00434120,-11.269421,-11.1,-11.649421,-10.889420999999999,0.0
2025-02-28,USC00434120,-5.968304,-6.1,-6.348304,-5.588304,0.0
2025-01-01,USC00434290,-0.83280987,-0.6,-1.21280987,-0.45280986999999995,0.0
2025-01-02,USC00434290,-3.9902225,-3.9,-4.3702225,-3.6102225,0.0
2025-01-03,USC00434290,-7.1926813,-7.2,-7.5726813,-6.8126813,0.0
2025-01-04,USC00434290,-13.234094,-13.9,-13.614094000000001,-12.854094,0.0
2025-01-05,USC00434290,-14.205268,-14.4,-14.585268000000001,-13.825268,0.0
2025-01-06,USC00434290,-17.585894,-17.2,-17.965894,-17.205894,0.0
2025-01-07,USC00434290,-18.140749,-17.8,-18.520749,-17.760749,0.0
2025-01-08,USC00434290,-16.592411,-16.1,-16.972410999999997,-16.212411,0.0
2025-01-09,USC00434290,-17.594658,-16.7,-17.974657999999998,-17.214658,0.0
2025-01-10,USC00434290,-15.810898,-15.0,-16.190898,-15.430898,0.0
2025-01-11,USC00434290,-11.798113,-11.7,-12.178113000000002,-11.418113,0.0
2025-01-12,USC00434290,-10.7130165,-10.6,-11.093016500000001,-10.3330165,0.0
2025-01-13,USC00434290,-10.076896,-10.0,-10.456896,-9.696895999999999,0.0
2025-01-14,USC00434290,-9.522075,-9.4,-9.902075,-9.142074999999998,0.0
2025-01-15,USC00434290,-11.551312,-11.7,-11.931312,-11.171311999999999,0.0
2025-01-16,USC00434290,-15.017946,-15.0,-15.397946000000001,-14.637946,0.0
2025-01-17,USC00434290,-13.177876,-13.3,-13.557876,-12.797875999999999,0.0
2025-01-18,USC00434290,-11.3078985,-11.1,-11.687898500000001,-10.9278985,0.0
2025-01-19,USC00434290,-8.231882,-8.3,-8.611882000000001,-7.851882000000001,0.0
2025-01-20,USC00434290,-15.484714,-15.6,-15.864714000000001,-15.104714,0.0
2025-01-21,USC00434290,-23.534063,-23.9,-23.914063,-23.154063,2.11955200000002
2025-01-22,USC00434290,-23.118744,-22.8,-23.498744,-22.738744,0.0
2025-01-23,USC00434290,-23.249886,-22.8,-23.629886,-22.869886,0.0
2025-01-24,USC00434290,-13.878531,-12.8,-14.258531000000001,-13.498531,0.0
2025-01-25,USC00434290,-22.12679,-21.7,-22.50679,-21.74679,0.0
2025-01-26,USC00434290,-21.047207,-21.1,-21.427207,-20.667207,0.0
2025-01-27,USC00434290,-7.273328,-6.1,-7.653328,-6.893328,0.0
2025-01-28,USC00434290,-8.429104,-8.3,-8.809104000000001,-8.049104,0.0
2025-01-29,USC00434290,-17.449736,-17.2,-17.829736,-17.069736000000002,0.0
2025-01-30,USC00434290,-19.446404,-19.4,-19.826404,-19.066404000000002,0.0
2025-01-31,USC00434290,-19.756544,-20.0,-20.136544,-19.376544000000003,0.0
2025-02-01,USC00434290,-16.03434,-15.0,-16.41434,-15.65434,0.0
2025-02-02,USC00434290,-27.34294,-26.7,-27.722939999999998,-26.96294,40.20832200000001
2025-02-03,USC00434290,-27.093723,-26.7,-27.473723,-26.713723,37.71615200000003
2025-02-04,USC00434290,-9.277668,-8.3,-9.657668000000001,-8.897668,0.0
2025-02-05,USC00434290,-18.937386,-18.3,-19.317386,-18.557386,0.0
2025-02-06,USC00434290,-22.647303,-22.2,-23.027303,-22.267303000000002,0.0
2025-02-07,USC00434290,-16.230608,-15.0,-16.610608,-15.850608,0.0
2025-02-08,USC00434290,-11.387548,-10.0,-11.767548000000001,-11.007548,0.0
2025-02-09,USC00434290,-10.377355,-9.4,-10.757355,-9.997354999999999,0.0
2025-02-10,USC00434290,-9.429416,-9.4,-9.809416,-9.049415999999999,0.0
2025-02-11,USC00434290,-17.93857,-17.8,-18.318569999999998,-17.55857,0.0
2025-02-12,USC00434290,-15.720441,-15.0,-16.100441,-15.340440999999998,0.0
2025-02-13,USC00434290,-14.842581,-14.4,-15.222581,-14.462580999999998,0.0
2025-02-14,USC00434290,-13.867714,-13.3,-14.247714,-13.487713999999999,0.0
2025-02-15,USC00434290,-17.422487,-17.2,-17.802487,-17.042487,0.0
2025-02-16,USC00434290,-17.152182,-16.7,-17.532182,-16.772182,0.0
2025-02-17,USC00434290,-15.472275,-15.0,-15.852275,-15.092274999999999,0.0
2025-02-18,USC00434290,-17.51522,-16.7,-17.89522,-17.13522,0.0
2025-02-19,USC00434290,-19.659945,-19.4,-20.039945,-19.279945,0.0
2025-02-20,USC00434290,-20.955385,-21.1,-21.335385,-20.575385,0.0
