ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00273825,2025,3,TMIN,,,,,,,,,,,-61.0,-44.0,-33.0,-56.0,,,,,,,,,,,,,,,,,
USC00273850,2025,2,TMIN,,,-89.0,-44.0,-161.0,-200.0,,,,-78.0,-200.0,-144.0,-50.0,,,,-100.0,-117.0,-183.0,,,-150.0,-50.0,-28.0,-6.0,-6.0,-33.0,,,,
USC00273850,2025,3,TMIN,,-139.0,-200.0,-100.0,-11.0,33.0,-61.0,,-56.0,-28.0,-33.0,,,,-17.0,,44.0,-22.0,-28.0,,-6.0,,,,,,,,,,
USC00273856,2025,3,TMIN,,,,,,,,,-139.0,,,,,,,,22.0,,,,,,,,,,,,,,
USC00273860,2025,2,TMIN,-94.0,-211.0,,-111.0,-189.0,-211.0,-128.0,-150.0,-150.0,-139.0,-178.0,,-150.0,-150.0,-161.0,-178.0,-189.0,-222.0,,,,,-128.0,-150.0,-150.0,-33.0,-78.0,,,,
USC00273860,2025,3,TMIN,,-222.0,-222.0,-178.0,-128.0,0.0,-150.0,-150.0,-139.0,-139.0,-56.0,-133.0,,,-78.0,50.0,11.0,-61.0,-50.0,22.0,,-83.0,-167.0,-167.0,-94.0,,,,,,
USC00274218,2025,2,TMIN,-94.0,-211.0,-222.0,-83.0,-144.0,-194.0,-194.0,-122.0,-128.0,-78.0,-183.0,-178.0,-167.0,-67.0,-150.0,-150.0,-72.0,-111.0,-150.0,-161.0,-161.0,-111.0,-111.0,-67.0,-22.0,-17.0,-39.0,-22.0,,,
USC00274218,2025,3,TMIN,-22.0,-117.0,-144.0,-144.0,,-11.0,-56.0,-56.0,-39.0,-44.0,-50.0,-50.0,-33.0,-56.0,-56.0,72.0,94.0,-11.0,-39.0,-39.0,28.0,-6.0,-50.0,-50.0,,,,,,,
USC00274234,2025,2,TMIN,-22.0,-194.0,-200.0,-67.0,-133.0,-161.0,-139.0,-122.0,-117.0,-89.0,-178.0,-172.0,-100.0,-44.0,-128.0,-128.0,-56.0,-94.0,-128.0,-161.0,-156.0,-106.0,-94.0,-56.0,-28.0,-17.0,-28.0,-33.0,,,
USC00274234,2025,3,TMIN,-28.0,-111.0,-150.0,-139.0,-72.0,0.0,-39.0,-33.0,-67.0,-56.0,-39.0,-22.0,-17.0,-39.0,-22.0,-11.0,83.0,11.0,-33.0,-22.0,39.0,-33.0,-39.0,-33.0,-11.0,,,,,,
