DATE,ID,SNWD
2025-03-06,US1NHST0031,318.0
2025-03-07,US1NHST0031,241.0
2025-03-08,US1NHST0031,241.0
2025-03-09,US1NHST0031,229.0
2025-03-10,US1NHST0031,216.0
2025-03-11,US1NHST0031,203.0
2025-03-12,US1NHST0031,165.0
2025-03-13,US1NHST0031,140.0
2025-03-14,US1NHST0031,127.0
2025-03-15,US1NHST0031,89.0
2025-03-16,US1NHST0031,76.0
2025-03-17,US1NHST0031,25.0
2025-03-18,US1NHST0031,0.0
2025-03-19,US1NHST0031,0.0
2025-03-25,US1NHST0031,25.0
2025-02-14,US1NHST0050,25.0
2025-02-17,US1NHST0050,191.0
2025-02-01,US1NHST0055,165.0
2025-02-02,US1NHST0055,178.0
2025-02-03,US1NHST0055,203.0
2025-02-04,US1NHST0055,191.0
2025-02-05,US1NHST0055,191.0
2025-02-06,US1NHST0055,191.0
2025-02-07,US1NHST0055,254.0
2025-02-08,US1NHST0055,241.0
2025-02-09,US1NHST0055,457.0
2025-02-10,US1NHST0055,457.0
2025-02-11,US1NHST0055,419.0
2025-02-12,US1NHST0055,406.0
2025-02-13,US1NHST0055,419.0
2025-02-14,US1NHST0055,406.0
2025-02-15,US1NHST0055,406.0
2025-02-16,US1NHST0055,483.0
2025-02-17,US1NHST0055,533.0
2025-02-18,US1NHST0055,533.0
2025-02-19,US1NHST0055,508.0
2025-02-20,US1NHST0055,495.0
2025-02-21,US1NHST0055,483.0
2025-02-22,US1NHST0055,470.0
2025-02-23,US1NHST0055,457.0
2025-02-24,US1NHST0055,432.0
2025-02-25,US1NHST0055,419.0
2025-02-26,US1NHST0055,381.0
2025-02-27,US1NHST0055,330.0
2025-02-28,US1NHST0055,356.0
2025-03-01,US1NHST0055,330.0
2025-03-02,US1NHST0055,305.0
2025-03-03,US1NHST0055,305.0
2025-03-04,US1NHST0055,292.0
2025-03-05,US1NHST0055,279.0
2025-03-06,US1NHST0055,203.0
2025-03-07,US1NHST0055,152.0
2025-03-08,US1NHST0055,127.0
2025-03-10,US1NHST0055,89.0
2025-03-11,US1NHST0055,76.0
2025-03-12,US1NHST0055,38.0
2025-03-13,US1NHST0055,25.0
2025-03-14,US1NHST0055,13.0
2025-02-01,USC00270690,229.0
2025-02-02,USC00270690,203.0
2025-02-03,USC00270690,203.0
2025-02-04,USC00270690,229.0
2025-02-05,USC00270690,229.0
2025-02-06,USC00270690,203.0
2025-02-07,USC00270690,229.0
2025-02-08,USC00270690,254.0
2025-02-09,USC00270690,330.0
2025-02-10,USC00270690,330.0
2025-02-11,USC00270690,305.0
2025-02-12,USC00270690,305.0
2025-02-13,USC00270690,305.0
2025-02-14,USC00270690,356.0
2025-02-15,USC00270690,356.0
2025-02-16,USC00270690,432.0
2025-02-17,USC00270690,508.0
2025-02-18,USC00270690,457.0
2025-02-19,USC00270690,432.0
2025-02-20,USC00270690,432.0
2025-02-21,USC00270690,406.0
2025-02-22,USC00270690,0.0
2025-02-23,USC00270690,406.0
2025-02-24,USC00270690,406.0
2025-02-25,USC00270690,381.0
2025-02-26,USC00270690,356.0
2025-02-27,USC00270690,330.0
2025-02-28,USC00270690,305.0
2025-03-01,USC00270690,330.0
2025-03-02,USC00270690,330.0
2025-03-03,USC00270690,330.0
2025-03-04,USC00270690,330.0
2025-03-05,USC00270690,305.0
2025-03-06,USC00270690,254.0
2025-03-07,USC00270690,203.0
2025-03-08,USC00270690,203.0
2025-03-09,USC00270690,203.0
2025-03-10,USC00270690,203.0
2025-03-11,USC00270690,178.0
2025-03-12,USC00270690,127.0
2025-03-13,USC00270690,127.0
2025-03-14,USC00270690,127.0
2025-03-15,USC00270690,76.0
2025-03-16,USC00270690,25.0
2025-03-17,USC00270690,0.0
2025-03-18,USC00270690,0.0
2025-03-19,USC00270690,0.0
2025-03-20,USC00270690,0.0
2025-03-21,USC00270690,0.0
2025-03-22,USC00270690,0.0
2025-03-23,USC00270690,0.0
2025-03-24,USC00270690,0.0
2025-03-25,USC00270690,25.0
2025-02-01,USC00270913,152.0
2025-02-02,USC00270913,152.0
2025-02-08,USC00270913,229.0
2025-02-09,USC00270913,381.0
2025-02-10,USC00270913,381.0
2025-02-01,USC00271190,838.0
2025-02-02,USC00271190,838.0
2025-02-04,USC00271190,991.0
2025-02-05,USC00271190,965.0
2025-02-06,USC00271190,965.0
2025-02-07,USC00271190,1041.0
2025-02-08,USC00271190,1092.0
2025-02-09,USC00271190,1219.0
2025-02-10,USC00271190,1295.0
2025-02-11,USC00271190,1270.0
2025-02-13,USC00271190,1270.0
2025-02-14,USC00271190,1295.0
2025-02-15,USC00271190,1016.0
2025-02-16,USC00271190,1092.0
2025-02-17,USC00271190,1219.0
2025-02-18,USC00271190,1219.0
2025-02-19,USC00271190,1092.0
2025-02-20,USC00271190,1067.0
2025-02-21,USC00271190,1067.0
2025-02-23,USC00271190,1067.0
2025-02-24,USC00271190,1143.0
2025-02-25,USC00271190,1092.0
2025-02-26,USC00271190,1092.0
2025-02-27,USC00271190,1092.0
2025-03-02,USC00271190,1143.0
2025-03-03,USC00271190,1143.0
2025-03-04,USC00271190,1143.0
2025-03-05,USC00271190,1092.0
2025-03-07,USC00271190,1118.0
2025-03-08,USC00271190,1118.0
2025-03-09,USC00271190,1118.0
2025-03-10,USC00271190,1143.0
2025-03-11,USC00271190,1143.0
2025-03-12,USC00271190,1092.0
2025-03-15,USC00271190,965.0
2025-03-16,USC00271190,813.0
2025-03-17,USC00271190,686.0
2025-03-18,USC00271190,610.0
2025-03-19,USC00271190,610.0
2025-03-20,USC00271190,559.0
2025-03-21,USC00271190,559.0
2025-03-22,USC00271190,610.0
2025-03-23,USC00271190,610.0
2025-03-24,USC00271190,838.0
2025-03-25,USC00271190,711.0
2025-02-01,USC00271647,305.0
2025-02-02,USC00271647,279.0
2025-02-03,USC00271647,254.0
2025-02-04,USC00271647,279.0
2025-02-05,USC00271647,279.0
2025-02-06,USC00271647,254.0
2025-02-07,USC00271647,330.0
2025-02-08,USC00271647,330.0
2025-02-09,USC00271647,381.0
2025-02-10,USC00271647,381.0
2025-02-13,USC00271647,330.0
2025-02-14,USC00271647,381.0
2025-02-15,USC00271647,381.0
2025-02-16,USC00271647,457.0
2025-02-17,USC00271647,483.0
2025-02-18,USC00271647,457.0
2025-02-19,USC00271647,432.0
2025-02-20,USC00271647,432.0
2025-02-21,USC00271647,432.0
2025-02-22,USC00271647,406.0
2025-02-23,USC00271647,406.0
2025-02-24,USC00271647,406.0
2025-02-25,USC00271647,381.0
2025-02-26,USC00271647,330.0
2025-02-27,USC00271647,305.0
2025-03-03,USC00271647,381.0
2025-03-04,USC00271647,381.0
2025-03-05,USC00271647,406.0
2025-03-06,USC00271647,305.0
2025-03-10,USC00271647,305.0
2025-03-11,USC00271647,279.0
2025-03-12,USC00271647,203.0
2025-03-13,USC00271647,203.0
2025-03-14,USC00271647,178.0
2025-03-15,USC00271647,152.0
2025-03-16,USC00271647,76.0
2025-03-17,USC00271647,0.0
2025-03-23,USC00271647,25.0
2025-03-24,USC00271647,0.0
2025-02-01,USC00271800,381.0
2025-02-02,USC00271800,457.0
2025-02-03,USC00271800,508.0
2025-02-04,USC00271800,584.0
2025-02-05,USC00271800,584.0
2025-02-06,USC00271800,584.0
2025-02-07,USC00271800,635.0
2025-02-08,USC00271800,610.0
2025-02-09,USC00271800,711.0
2025-02-10,USC00271800,711.0
2025-02-11,USC00271800,660.0
2025-02-12,USC00271800,711.0
2025-02-13,USC00271800,711.0
2025-02-14,USC00271800,711.0
2025-02-15,USC00271800,711.0
2025-02-16,USC00271800,711.0
2025-02-17,USC00271800,838.0
2025-02-18,USC00271800,787.0
2025-02-19,USC00271800,711.0
2025-02-20,USC00271800,686.0
2025-02-21,USC00271800,813.0
2025-02-22,USC00271800,787.0
2025-02-24,USC00271800,838.0
2025-02-25,USC00271800,838.0
2025-02-26,USC00271800,635.0
2025-02-27,USC00271800,686.0
2025-02-28,USC00271800,737.0
2025-03-01,USC00271800,762.0
2025-03-02,USC00271800,838.0
2025-03-03,USC00271800,838.0
2025-03-04,USC00271800,838.0
2025-03-06,USC00271800,660.0
2025-03-07,USC00271800,635.0
2025-03-08,USC00271800,660.0
2025-03-09,USC00271800,660.0
2025-03-10,USC00271800,660.0
2025-03-11,USC00271800,660.0
2025-03-12,USC00271800,635.0
2025-03-13,USC00271800,610.0
2025-03-14,USC00271800,610.0
2025-03-15,USC00271800,584.0
2025-03-16,USC00271800,432.0
2025-03-17,USC00271800,305.0
2025-03-18,USC00271800,305.0
2025-03-19,USC00271800,305.0
2025-03-20,USC00271800,279.0
2025-03-21,USC00271800,229.0
2025-03-22,USC00271800,229.0
2025-03-23,USC00271800,254.0
2025-03-24,USC00271800,254.0
2025-03-25,USC00271800,305.0
2025-02-01,USC00272302,102.0
2025-02-02,USC00272302,102.0
2025-02-03,USC00272302,127.0
2025-02-04,USC00272302,127.0
2025-02-05,USC00272302,0.0
2025-02-06,USC00272302,102.0
2025-02-07,USC00272302,152.0
2025-02-08,USC00272302,152.0
2025-02-09,USC00272302,229.0
2025-02-10,USC00272302,254.0
2025-02-11,USC00272302,254.0
2025-02-12,USC00272302,229.0
2025-02-13,USC00272302,279.0
2025-02-14,USC00272302,229.0
2025-02-15,USC00272302,229.0
2025-02-16,USC00272302,356.0
2025-02-17,USC00272302,406.0
2025-02-18,USC00272302,381.0
2025-02-19,USC00272302,381.0
2025-02-20,USC00272302,381.0
2025-02-22,USC00272302,381.0
2025-02-23,USC00272302,381.0
2025-02-24,USC00272302,330.0
2025-02-25,USC00272302,305.0
2025-02-26,USC00272302,279.0
2025-02-27,USC00272302,254.0
2025-02-28,USC00272302,254.0
2025-03-01,USC00272302,229.0
2025-03-02,USC00272302,229.0
2025-03-03,USC00272302,229.0
2025-03-04,USC00272302,229.0
2025-03-05,USC00272302,203.0
2025-03-06,USC00272302,178.0
2025-03-07,USC00272302,127.0
2025-03-08,USC00272302,102.0
2025-03-09,USC00272302,76.0
2025-03-10,USC00272302,76.0
2025-03-11,USC00272302,0.0
2025-03-12,USC00272302,0.0
2025-03-13,USC00272302,0.0
2025-03-14,USC00272302,0.0
2025-03-15,USC00272302,0.0
2025-03-16,USC00272302,0.0
2025-03-17,USC00272302,0.0
2025-03-18,USC00272302,0.0
2025-03-19,USC00272302,0.0
2025-03-20,USC00272302,0.0
2025-03-22,USC00272302,0.0
2025-03-23,USC00272302,0.0
2025-03-24,USC00272302,0.0
2025-03-25,USC00272302,0.0
2025-02-01,USC00272303,406.0
2025-02-02,USC00272303,406.0
2025-02-03,USC00272303,457.0
2025-02-04,USC00272303,432.0
2025-02-05,USC00272303,432.0
