DATE,ID,TMIN
2025-02-24,USC00276365,-67.0
2025-02-25,USC00276365,-61.0
2025-02-26,USC00276365,-33.0
2025-02-27,USC00276365,-106.0
2025-02-28,USC00276365,-56.0
2025-03-01,USC00276365,-94.0
2025-03-02,USC00276365,-189.0
2025-03-03,USC00276365,-289.0
2025-03-04,USC00276365,-222.0
2025-03-05,USC00276365,-83.0
2025-03-06,USC00276365,-28.0
2025-03-07,USC00276365,-100.0
2025-03-08,USC00276365,-94.0
2025-03-09,USC00276365,-133.0
2025-03-10,USC00276365,-117.0
2025-03-11,USC00276365,-61.0
2025-03-12,USC00276365,-67.0
2025-03-13,USC00276365,-100.0
2025-03-14,USC00276365,-100.0
2025-03-15,USC00276365,-67.0
2025-03-16,USC00276365,-39.0
2025-03-17,USC00276365,28.0
2025-03-18,USC00276365,-67.0
2025-03-19,USC00276365,-61.0
2025-03-20,USC00276365,-50.0
2025-03-21,USC00276365,-6.0
2025-03-22,USC00276365,-83.0
2025-03-23,USC00276365,-106.0
2025-03-24,USC00276365,-111.0
2025-03-25,USC00276365,-72.0
2025-02-04,USC00276550,-72.0
2025-02-05,USC00276550,-133.0
2025-02-06,USC00276550,-183.0
2025-02-07,USC00276550,-161.0
2025-02-11,USC00276550,-167.0
2025-02-12,USC00276550,-172.0
2025-02-13,USC00276550,-161.0
2025-02-14,USC00276550,-67.0
2025-02-15,USC00276550,-150.0
2025-02-16,USC00276550,-67.0
2025-02-17,USC00276550,-156.0
2025-02-18,USC00276550,-111.0
2025-02-19,USC00276550,-150.0
2025-02-20,USC00276550,-200.0
2025-02-21,USC00276550,-194.0
2025-02-25,USC00276550,-33.0
2025-02-26,USC00276550,-17.0
2025-02-27,USC00276550,-28.0
2025-02-28,USC00276550,-17.0
2025-03-01,USC00276550,-22.0
2025-03-02,USC00276550,-128.0
2025-03-03,USC00276550,-178.0
2025-03-04,USC00276550,-178.0
2025-03-05,USC00276550,-83.0
2025-03-06,USC00276550,-11.0
2025-03-07,USC00276550,-56.0
2025-03-08,USC00276550,-56.0
2025-03-09,USC00276550,-78.0
2025-03-10,USC00276550,-78.0
2025-03-11,USC00276550,-44.0
2025-03-12,USC00276550,-39.0
2025-03-13,USC00276550,-22.0
