DATE,ID,PRCP
2025-02-08,US1NHBK0034,0.0
2025-02-09,US1NHBK0034,102.0
2025-02-10,US1NHBK0034,0.0
2025-02-11,US1NHBK0034,0.0
2025-02-12,US1NHBK0034,0.0
2025-02-13,US1NHBK0034,18.0
2025-02-14,US1NHBK0034,43.0
2025-02-15,US1NHBK0034,0.0
2025-02-16,US1NHBK0034,66.0
2025-02-17,US1NHBK0034,173.0
2025-02-18,US1NHBK0034,0.0
2025-02-19,US1NHBK0034,0.0
2025-02-20,US1NHBK0034,0.0
2025-02-21,US1NHBK0034,0.0
2025-02-22,US1NHBK0034,0.0
2025-02-23,US1NHBK0034,0.0
2025-02-24,US1NHBK0034,0.0
2025-02-25,US1NHBK0034,0.0
2025-02-26,US1NHBK0034,0.0
2025-02-27,US1NHBK0034,0.0
2025-02-28,US1NHBK0034,109.0
2025-03-01,US1NHBK0034,28.0
2025-03-02,US1NHBK0034,0.0
2025-03-03,US1NHBK0034,0.0
2025-03-04,US1NHBK0034,0.0
2025-03-05,US1NHBK0034,0.0
2025-03-06,US1NHBK0034,198.0
2025-03-07,US1NHBK0034,0.0
2025-03-08,US1NHBK0034,0.0
2025-03-09,US1NHBK0034,0.0
2025-03-10,US1NHBK0034,0.0
2025-03-11,US1NHBK0034,0.0
2025-03-12,US1NHBK0034,0.0
2025-03-13,US1NHBK0034,0.0
2025-03-14,US1NHBK0034,0.0
2025-03-15,US1NHBK0034,0.0
2025-03-16,US1NHBK0034,0.0
2025-03-17,US1NHBK0034,262.0
2025-03-18,US1NHBK0034,69.0
2025-03-19,US1NHBK0034,0.0
2025-03-20,US1NHBK0034,3.0
2025-03-21,US1NHBK0034,81.0
2025-03-22,US1NHBK0034,20.0
2025-03-23,US1NHBK0034,0.0
2025-03-24,US1NHBK0034,0.0
2025-03-25,US1NHBK0034,127.0
2025-02-01,US1NHCH0002,150.0
2025-02-02,US1NHCH0002,0.0
2025-02-03,US1NHCH0002,48.0
2025-02-04,US1NHCH0002,0.0
2025-02-05,US1NHCH0002,0.0
2025-02-06,US1NHCH0002,0.0
2025-02-07,US1NHCH0002,102.0
2025-02-08,US1NHCH0002,0.0
2025-02-09,US1NHCH0002,145.0
2025-02-10,US1NHCH0002,0.0
2025-02-11,US1NHCH0002,0.0
2025-02-12,US1NHCH0002,0.0
2025-02-13,US1NHCH0002,84.0
2025-02-14,US1NHCH0002,84.0
2025-02-15,US1NHCH0002,0.0
2025-02-16,US1NHCH0002,155.0
2025-02-17,US1NHCH0002,287.0
2025-02-18,US1NHCH0002,0.0
2025-02-19,US1NHCH0002,0.0
2025-02-20,US1NHCH0002,0.0
2025-02-21,US1NHCH0002,0.0
