DATE,ID,TMAX,TMIN,PRCP,SNOW,WT18,SNWD,WT04,WT09
1894-02-22,USC00272174,0.0,-167.0,0.0,0.0,,,,
1894-02-23,USC00272174,-44.0,-161.0,0.0,0.0,,,,
1894-02-24,USC00272174,-183.0,-250.0,0.0,0.0,,,,
1894-02-25,USC00272174,-72.0,-294.0,0.0,0.0,,,,
1894-02-26,USC00272174,-39.0,-150.0,0.0,0.0,,,,
1894-02-27,USC00272174,33.0,-161.0,0.0,0.0,,,,
1894-02-28,USC00272174,61.0,-56.0,0.0,0.0,,,,
1895-12-01,USC00272174,6.0,-117.0,0.0,0.0,,,,
1895-12-02,USC00272174,122.0,-22.0,163.0,0.0,,,,
1895-12-03,USC00272174,-22.0,-83.0,0.0,0.0,,,,
1895-12-04,USC00272174,-17.0,-150.0,0.0,0.0,,,,
1895-12-05,USC00272174,-61.0,-106.0,102.0,140.0,1.0,,,
1895-12-06,USC00272174,-33.0,-139.0,0.0,0.0,,,,
1895-12-07,USC00272174,-17.0,-172.0,0.0,0.0,1.0,,,
1895-12-08,USC00272174,17.0,-100.0,0.0,0.0,,,,
1895-12-09,USC00272174,-28.0,-139.0,0.0,0.0,,,,
1895-12-10,USC00272174,-33.0,-211.0,0.0,0.0,,,,
1895-12-11,USC00272174,-56.0,-144.0,0.0,0.0,,,,
1895-12-12,USC00272174,-128.0,-200.0,0.0,0.0,,,,
1895-12-13,USC00272174,-83.0,-261.0,0.0,0.0,,,,
1895-12-14,USC00272174,-11.0,-206.0,0.0,0.0,,,,
1895-12-15,USC00272174,28.0,-167.0,0.0,0.0,,,,
1895-12-16,USC00272174,6.0,-100.0,0.0,0.0,,,,
1895-12-17,USC00272174,-17.0,-200.0,0.0,0.0,,,,
1895-12-18,USC00272174,67.0,-106.0,0.0,0.0,,,,
1895-12-19,USC00272174,100.0,-22.0,0.0,0.0,,,,
1895-12-20,USC00272174,133.0,-11.0,0.0,0.0,,,,
1895-12-21,USC00272174,111.0,-22.0,0.0,0.0,,,,
1895-12-22,USC00272174,128.0,0.0,127.0,0.0,,,,
1895-12-23,USC00272174,89.0,-17.0,0.0,0.0,,,,
1895-12-24,USC00272174,83.0,0.0,0.0,0.0,,,,
1895-12-25,USC00272174,72.0,0.0,0.0,0.0,,,,
1895-12-26,USC00272174,122.0,44.0,0.0,0.0,,,,
1895-12-27,USC00272174,144.0,-6.0,114.0,0.0,,,,
1895-12-28,USC00272174,56.0,-67.0,0.0,0.0,,,,
1895-12-29,USC00272174,50.0,-83.0,0.0,0.0,,,,
1895-12-30,USC00272174,67.0,-61.0,28.0,0.0,,,,
1895-12-31,USC00272174,150.0,-22.0,254.0,0.0,,,,
1896-01-01,USC00272174,-11.0,-44.0,0.0,0.0,,,,
1896-01-02,USC00272174,28.0,-67.0,0.0,0.0,,,,
1896-01-03,USC00272174,39.0,-56.0,0.0,0.0,,,,
1896-01-04,USC00272174,-56.0,-144.0,0.0,0.0,,,,
1896-01-05,USC00272174,-117.0,-206.0,0.0,0.0,,,,
1896-01-06,USC00272174,-183.0,-272.0,0.0,0.0,,,,
1896-01-07,USC00272174,-144.0,-239.0,18.0,20.0,,,,
1896-01-08,USC00272174,-100.0,-222.0,0.0,0.0,,,,
1896-01-09,USC00272174,-67.0,-144.0,5.0,13.0,,,,
1896-01-10,USC00272174,-28.0,-83.0,46.0,102.0,,,,
1896-01-11,USC00272174,-28.0,-172.0,0.0,0.0,,,,
1896-01-12,USC00272174,-17.0,-222.0,10.0,25.0,,,,
1896-01-13,USC00272174,-17.0,-94.0,0.0,20.0,,,,
1896-01-14,USC00272174,-22.0,-167.0,0.0,0.0,,,,
1896-01-15,USC00272174,-44.0,-167.0,0.0,0.0,,,,
1896-01-16,USC00272174,-28.0,-217.0,0.0,0.0,,,,
1896-01-17,USC00272174,22.0,-100.0,0.0,0.0,,,,
1896-01-18,USC00272174,22.0,-78.0,0.0,0.0,,,,
1896-01-19,USC00272174,0.0,-44.0,5.0,8.0,,,,
1896-01-20,USC00272174,-22.0,-89.0,0.0,0.0,1.0,,,
1896-01-21,USC00272174,-11.0,-89.0,0.0,0.0,,,,
1896-01-22,USC00272174,11.0,-89.0,0.0,0.0,,,,
1896-01-23,USC00272174,-6.0,-167.0,0.0,0.0,,,,
1896-01-24,USC00272174,11.0,-111.0,142.0,76.0,,,,
1896-01-25,USC00272174,17.0,-11.0,0.0,0.0,,,,
1896-01-26,USC00272174,22.0,-28.0,0.0,0.0,,,,
1896-01-27,USC00272174,6.0,-44.0,0.0,0.0,,,,
1896-01-28,USC00272174,-67.0,-133.0,0.0,0.0,,,,
1896-01-29,USC00272174,-39.0,-200.0,0.0,0.0,,,,
1896-01-30,USC00272174,6.0,-83.0,0.0,0.0,,,,
1896-01-31,USC00272174,-28.0,-156.0,0.0,0.0,,,,
1896-02-01,USC00272174,-6.0,-78.0,94.0,76.0,,,,
1896-02-02,USC00272174,22.0,-67.0,0.0,0.0,,,,
1896-02-03,USC00272174,-44.0,-128.0,0.0,0.0,,,,
1896-02-04,USC00272174,0.0,-61.0,8.0,13.0,1.0,,,
1896-02-05,USC00272174,6.0,-44.0,0.0,0.0,1.0,,,
1896-02-06,USC00272174,50.0,0.0,292.0,0.0,,,,
1896-02-07,USC00272174,56.0,6.0,51.0,0.0,,,,
1896-02-08,USC00272174,33.0,-22.0,0.0,0.0,,,,
1896-02-09,USC00272174,-22.0,-44.0,66.0,64.0,,,,
1896-02-10,USC00272174,6.0,-78.0,0.0,0.0,,,,
1896-02-11,USC00272174,-6.0,-72.0,5.0,8.0,,,,
1896-02-12,USC00272174,-11.0,-83.0,0.0,0.0,,,,
1896-02-13,USC00272174,-33.0,-100.0,114.0,89.0,,,,
1896-02-14,USC00272174,6.0,-78.0,0.0,0.0,,,,
1896-02-15,USC00272174,56.0,-117.0,0.0,0.0,,,,
1896-02-16,USC00272174,33.0,-161.0,0.0,0.0,,,,
1896-02-17,USC00272174,-183.0,-283.0,0.0,0.0,,,,
1896-02-18,USC00272174,-61.0,-283.0,0.0,0.0,,,,
1896-02-19,USC00272174,6.0,-133.0,8.0,13.0,,,,
1896-02-20,USC00272174,-44.0,-161.0,25.0,51.0,,,,
1896-02-21,USC00272174,-72.0,-161.0,0.0,0.0,,,,
1896-02-22,USC00272174,-17.0,-200.0,0.0,0.0,,,,
1896-02-23,USC00272174,56.0,-150.0,0.0,0.0,,,,
1896-02-24,USC00272174,72.0,-6.0,0.0,0.0,,,,
1896-02-25,USC00272174,-61.0,-133.0,0.0,0.0,,,,
1896-02-26,USC00272174,-44.0,-211.0,0.0,0.0,,,,
1896-02-27,USC00272174,17.0,-178.0,0.0,0.0,,,,
1896-02-28,USC00272174,89.0,6.0,0.0,0.0,,,,
1896-02-29,USC00272174,106.0,33.0,69.0,0.0,,,,
1896-12-01,USC00272174,-28.0,-111.0,0.0,0.0,,,,
1896-12-02,USC00272174,-78.0,-117.0,0.0,0.0,,,,
1896-12-03,USC00272174,-44.0,-161.0,0.0,0.0,,,,
1896-12-04,USC00272174,0.0,-161.0,0.0,0.0,,,,
1896-12-05,USC00272174,50.0,-89.0,5.0,8.0,,,,
1896-12-06,USC00272174,94.0,-39.0,0.0,0.0,,,,
1896-12-07,USC00272174,72.0,-17.0,0.0,0.0,,,,
1896-12-08,USC00272174,39.0,-78.0,0.0,0.0,,,,
1896-12-09,USC00272174,56.0,0.0,168.0,0.0,,,,
1896-12-10,USC00272174,61.0,-11.0,0.0,0.0,,,,
1896-12-11,USC00272174,28.0,-22.0,0.0,0.0,,,,
1896-12-12,USC00272174,72.0,-78.0,0.0,0.0,,,,
1896-12-13,USC00272174,78.0,-39.0,0.0,0.0,,,,
1896-12-14,USC00272174,44.0,-39.0,0.0,0.0,,,,
1896-12-15,USC00272174,-22.0,-100.0,0.0,0.0,,,,
1896-12-16,USC00272174,-50.0,-72.0,3.0,5.0,,,,
1896-12-17,USC00272174,-11.0,-89.0,0.0,0.0,,,,
1896-12-18,USC00272174,22.0,-117.0,8.0,8.0,,,,
1896-12-19,USC00272174,0.0,-89.0,0.0,0.0,,,,
1896-12-20,USC00272174,-44.0,-139.0,0.0,0.0,,,,
1896-12-21,USC00272174,-17.0,-133.0,0.0,0.0,,,,
1896-12-22,USC00272174,-61.0,-167.0,0.0,0.0,,,,
1896-12-23,USC00272174,-83.0,-122.0,23.0,25.0,,,,
1896-12-24,USC00272174,-100.0,-189.0,0.0,0.0,,,,
1896-12-25,USC00272174,-67.0,-206.0,0.0,0.0,,,,
1896-12-26,USC00272174,11.0,-111.0,0.0,0.0,,,,
1896-12-27,USC00272174,-100.0,-194.0,0.0,0.0,,,,
1896-12-28,USC00272174,-39.0,-228.0,0.0,0.0,,,,
1896-12-29,USC00272174,11.0,-161.0,0.0,0.0,,,,
1896-12-30,USC00272174,28.0,-83.0,0.0,0.0,,,,
1896-12-31,USC00272174,61.0,-56.0,0.0,0.0,,,,
1897-01-01,USC00272174,11.0,-150.0,0.0,0.0,,,,
1897-01-02,USC00272174,56.0,-39.0,0.0,0.0,,,,
1897-01-03,USC00272174,100.0,-17.0,0.0,0.0,,,,
1897-01-04,USC00272174,117.0,-11.0,0.0,0.0,,,,
1897-01-05,USC00272174,117.0,22.0,109.0,0.0,,,,
1897-01-06,USC00272174,-22.0,-56.0,0.0,0.0,,,,
1897-01-07,USC00272174,0.0,-83.0,0.0,0.0,,,,
1897-01-08,USC00272174,-17.0,-133.0,0.0,0.0,,,,
1897-01-09,USC00272174,6.0,-150.0,0.0,0.0,,,,
1897-01-10,USC00272174,28.0,-56.0,0.0,0.0,,,,
1897-01-11,USC00272174,17.0,-72.0,0.0,0.0,,,,
1897-01-12,USC00272174,-72.0,-150.0,8.0,20.0,,,,
1897-01-13,USC00272174,-83.0,-222.0,0.0,0.0,,,,
1897-01-14,USC00272174,-56.0,-172.0,0.0,0.0,,,,
1897-01-15,USC00272174,-6.0,-78.0,0.0,0.0,,,,
1897-01-16,USC00272174,22.0,-39.0,0.0,0.0,,,,
1897-01-17,USC00272174,22.0,-94.0,10.0,0.0,,,,
1897-01-18,USC00272174,78.0,-78.0,71.0,0.0,,,,
1897-01-19,USC00272174,-150.0,-217.0,0.0,0.0,,,,
1897-01-20,USC00272174,-61.0,-217.0,0.0,0.0,,,,
1897-01-21,USC00272174,28.0,-78.0,160.0,102.0,,,,
1897-01-22,USC00272174,22.0,-22.0,0.0,0.0,,,,
1897-01-23,USC00272174,-6.0,-61.0,10.0,13.0,,,,
1897-01-24,USC00272174,-56.0,-128.0,0.0,0.0,,,,
1897-01-25,USC00272174,-111.0,-178.0,0.0,0.0,,,,
1897-01-26,USC00272174,-39.0,-122.0,0.0,0.0,,,,
1897-01-27,USC00272174,-6.0,-117.0,0.0,0.0,,,,
1897-01-28,USC00272174,-33.0,-89.0,279.0,305.0,,,,
1897-01-29,USC00272174,-28.0,-94.0,0.0,0.0,,,,
1897-01-30,USC00272174,-39.0,-211.0,0.0,0.0,,,,
1897-01-31,USC00272174,-6.0,-222.0,0.0,0.0,,,,
1897-02-01,USC00272174,6.0,-250.0,0.0,0.0,,,,
1897-02-02,USC00272174,17.0,-200.0,0.0,0.0,,,,
1897-02-03,USC00272174,11.0,-67.0,0.0,0.0,,,,
1897-02-04,USC00272174,-6.0,-156.0,0.0,0.0,,,,
1897-02-05,USC00272174,22.0,-233.0,0.0,0.0,,,,
1897-02-06,USC00272174,28.0,-122.0,0.0,0.0,,,,
1897-02-07,USC00272174,67.0,-6.0,112.0,0.0,,,,
1897-02-08,USC00272174,67.0,-39.0,0.0,0.0,,,,
1897-02-09,USC00272174,17.0,-50.0,5.0,8.0,,,,
